R	phi	theta2	theta1	E
3.10	30	0	30	-152.334457744472
3.10	30	0	60	-152.276492920195
3.10	30	0	90	-152.26134205026
3.10	30	0	120	-152.276492275368
3.10	30	0	150	-152.334457744745
3.10	30	0	180	-151.995919284156
3.10	30	30	0	-152.198078263603
3.10	30	30	30	-152.338209235571
3.10	30	30	60	-152.276854364882
3.10	30	30	90	-152.261528159969
3.10	30	30	120	-152.276155779171
3.10	30	30	150	-152.337551689405
3.10	30	30	180	-152.1980782632
3.10	30	60	0	-152.271253618743
3.10	30	60	30	-152.34335216453
3.10	30	60	60	-152.27692367111
3.10	30	60	90	-152.261839816355
3.10	30	60	120	-152.276204964054
3.10	30	60	150	-152.343786508802
3.10	30	60	180	-152.271253618956
3.10	30	90	0	-152.287331295166
3.10	30	90	30	-152.346073924394
3.10	30	90	60	-152.276608610021
3.10	30	90	90	-152.261967216038
3.10	30	90	120	-152.276609575086
3.10	30	90	150	-152.346073925108
3.10	30	90	180	-152.287331294881
3.10	60	0	0	-151.995919282124
3.10	60	0	30	-152.334457777653
3.10	60	0	60	-152.276464947817
3.10	60	0	90	-152.261385308039
3.10	60	0	120	-152.276464948344
3.10	60	0	150	-152.334457777974
3.10	60	0	180	-151.995919284155
3.10	60	30	0	-152.198078263603
3.10	60	30	30	-152.337451004423
3.10	60	30	60	-152.276827585688
3.10	60	30	90	-152.2615146297
3.10	60	30	120	-152.276430362708
3.10	60	30	150	-152.336846872288
3.10	60	30	180	-152.198078263199
3.10	60	60	0	-152.271253618743
3.10	60	60	30	-152.341706667637
3.10	60	60	60	-152.277107847661
3.10	60	60	90	-152.261729505359
3.10	60	60	120	-152.276737517469
3.10	60	60	150	-152.341786598286
3.10	60	60	180	-152.271253618956
3.10	60	90	0	-152.287331295165
3.10	60	90	30	-152.343639481704
3.10	60	90	60	-152.277062008682
3.10	60	90	90	-152.261813844194
3.10	60	90	120	-152.277065739444
3.10	60	90	150	-152.343639481405
3.10	60	90	180	-152.287331294881
3.10	90	0	0	-151.995919282124
3.10	90	0	30	-152.334458436775
3.10	90	0	60	-152.276477164088
3.10	90	0	90	-152.261371571878
3.10	90	0	120	-152.276477164663
3.10	90	0	150	-152.334458436099
3.10	90	0	180	-151.995919284155
3.10	90	30	0	-152.198078263603
3.10	90	30	30	-152.336863121354
3.10	90	30	60	-152.276717600097
3.10	90	30	90	-152.261473006807
3.10	90	30	120	-152.276717600953
3.10	90	30	150	-152.336863122671
3.10	90	30	180	-152.1980782632
3.10	90	60	0	-152.271253618742
3.10	90	60	30	-152.340791118673
3.10	90	60	60	-152.277122967393
3.10	90	60	90	-152.261640657362
3.10	90	60	120	-152.277122985247
3.10	90	60	150	-152.340791119428
3.10	90	60	180	-152.271253618956
3.10	90	90	0	-152.287331295166
3.10	90	90	30	-152.342472834709
3.10	90	90	60	-152.277314817744
3.10	90	90	90	-152.261703430949
3.10	90	90	120	-152.277312036737
3.10	90	90	150	-152.342472833856
3.10	90	90	180	-152.287331294881
