	0	1	2
856	5.6000000000	55.0000000000	-2.5960343696
1230	5.5000000000	80.0000000000	-2.5944932229
33	5.8000000000	0.0000000000	-2.5818637717
108	5.8000000000	5.0000000000	-2.5758986710
1305	5.5000000000	85.0000000000	-2.5711018344
1380	5.5000000000	90.0000000000	-2.5632363028
183	5.8000000000	10.0000000000	-2.5582224047
632	5.7000000000	40.0000000000	-2.5357073803
258	5.8000000000	15.0000000000	-2.5294892259
931	5.6000000000	60.0000000000	-2.5220973213
86	3.6000000000	5.0000000000	-2.5110329452
333	5.8000000000	20.0000000000	-2.4907267133
707	5.7000000000	45.0000000000	-2.4622362740
1006	5.6000000000	65.0000000000	-2.4559167203
408	5.8000000000	25.0000000000	-2.4432958337
1081	5.6000000000	70.0000000000	-2.3992336643
11	3.6000000000	0.0000000000	-2.3896527193
782	5.7000000000	50.0000000000	-2.3895816110
483	5.8000000000	30.0000000000	-2.3888127936
1156	5.6000000000	75.0000000000	-2.3535526528
558	5.8000000000	35.0000000000	-2.3290671869
1231	5.6000000000	80.0000000000	-2.3200393204
857	5.7000000000	55.0000000000	-2.3198997330
34	5.9000000000	0.0000000000	-2.3056564861
109	5.9000000000	5.0000000000	-2.3004400140
1306	5.6000000000	85.0000000000	-2.2995728695
1381	5.6000000000	90.0000000000	-2.2926892681
184	5.9000000000	10.0000000000	-2.2849846105
633	5.8000000000	40.0000000000	-2.2660220040
259	5.9000000000	15.0000000000	-2.2598503777
932	5.7000000000	60.0000000000	-2.2551731517
334	5.9000000000	20.0000000000	-2.2259174037
161	3.6000000000	10.0000000000	-2.2192600801
708	5.8000000000	45.0000000000	-2.2016733580
1007	5.7000000000	65.0000000000	-2.1972158289
409	5.9000000000	25.0000000000	-2.1843693194
1082	5.7000000000	70.0000000000	-2.1475528895
783	5.8000000000	50.0000000000	-2.1379897224
484	5.9000000000	30.0000000000	-2.1366116422
1157	5.7000000000	75.0000000000	-2.1075240073
760	3.5000000000	50.0000000000	-2.0978396918
559	5.9000000000	35.0000000000	-2.0842050495
1232	5.7000000000	80.0000000000	-2.0781499648
858	5.8000000000	55.0000000000	-2.0768912770
35	6.0000000000	0.0000000000	-2.0632487313
1307	5.7000000000	85.0000000000	-2.0602109854
110	6.0000000000	5.0000000000	-2.0586731261
1382	5.7000000000	90.0000000000	-2.0541789465
185	6.0000000000	10.0000000000	-2.0451100318
634	5.9000000000	40.0000000000	-2.0288722030
260	6.0000000000	15.0000000000	-2.0230495404
933	5.8000000000	60.0000000000	-2.0201077044
335	6.0000000000	20.0000000000	-1.9932499334
709	5.9000000000	45.0000000000	-1.9723664827
1008	5.8000000000	65.0000000000	-1.9692442389
410	6.0000000000	25.0000000000	-1.9567451587
1083	5.8000000000	70.0000000000	-1.9256484576
784	5.9000000000	50.0000000000	-1.9164250346
485	6.0000000000	30.0000000000	-1.9147622967
1158	5.8000000000	75.0000000000	-1.8905028841
560	6.0000000000	35.0000000000	-1.8686669177
1233	5.8000000000	80.0000000000	-1.8647060582
859	5.9000000000	55.0000000000	-1.8627314436
1308	5.8000000000	85.0000000000	-1.8489530471
1383	5.8000000000	90.0000000000	-1.8436531750
635	6.0000000000	40.0000000000	-1.8199795428
934	5.9000000000	60.0000000000	-1.8128088665
710	6.0000000000	45.0000000000	-1.7702463715
1009	5.9000000000	65.0000000000	-1.7680797188
1084	5.9000000000	70.0000000000	-1.7297287199
785	6.0000000000	50.0000000000	-1.7209905575
1159	5.9000000000	75.0000000000	-1.6988054028
1234	5.9000000000	80.0000000000	-1.6761020703
860	6.0000000000	55.0000000000	-1.6737007966
1309	5.9000000000	85.0000000000	-1.6622363221
36	6.2000000000	0.0000000000	-1.6621309743
111	6.2000000000	5.0000000000	-1.6585768035
1384	5.9000000000	90.0000000000	-1.6575713878
186	6.2000000000	10.0000000000	-1.6480396063
261	6.2000000000	15.0000000000	-1.6308916137
935	6.0000000000	60.0000000000	-1.6297161075
336	6.2000000000	20.0000000000	-1.6077122401
1010	6.0000000000	65.0000000000	-1.5902938556
411	6.2000000000	25.0000000000	-1.5792988350
1085	6.0000000000	70.0000000000	-1.5564840073
486	6.2000000000	30.0000000000	-1.5465999686
1160	6.0000000000	75.0000000000	-1.5292147227
561	6.2000000000	35.0000000000	-1.5106794335
1235	6.0000000000	80.0000000000	-1.5091900795
1310	6.0000000000	85.0000000000	-1.4969600750
1385	6.0000000000	90.0000000000	-1.4928458019
1059	3.4000000000	70.0000000000	-1.4834720407
636	6.2000000000	40.0000000000	-1.4727241478
711	6.2000000000	45.0000000000	-1.4339313506
786	6.2000000000	50.0000000000	-1.3954932215
861	6.2000000000	55.0000000000	-1.3585652964
37	6.4000000000	0.0000000000	-1.3492494753
112	6.4000000000	5.0000000000	-1.3464597368
187	6.4000000000	10.0000000000	-1.3381883959
262	6.4000000000	15.0000000000	-1.3247251633
936	6.2000000000	60.0000000000	-1.3241909637
337	6.4000000000	20.0000000000	-1.3065179878
1011	6.2000000000	65.0000000000	-1.2933668470
412	6.4000000000	25.0000000000	-1.2841947834
1086	6.2000000000	70.0000000000	-1.2669100603
487	6.4000000000	30.0000000000	-1.2584978159
1161	6.2000000000	75.0000000000	-1.2455643946
562	6.4000000000	35.0000000000	-1.2302567001
1236	6.2000000000	80.0000000000	-1.2298800809
1311	6.2000000000	85.0000000000	-1.2202980380
1386	6.2000000000	90.0000000000	-1.2170741735
637	6.4000000000	40.0000000000	-1.2004057339
685	3.5000000000	45.0000000000	-1.1741124535
712	6.4000000000	45.0000000000	-1.1698849355
787	6.4000000000	50.0000000000	-1.1396220158
862	6.4000000000	55.0000000000	-1.1105297742
38	6.6000000000	0.0000000000	-1.1032291698
113	6.6000000000	5.0000000000	-1.1010199406
188	6.6000000000	10.0000000000	-1.0944712553
263	6.6000000000	15.0000000000	-1.0838085216
937	6.4000000000	60.0000000000	-1.0834246602
338	6.6000000000	20.0000000000	-1.0693879389
1012	6.4000000000	65.0000000000	-1.0591016029
413	6.6000000000	25.0000000000	-1.0517031143
1087	6.4000000000	70.0000000000	-1.0382095938
488	6.6000000000	30.0000000000	-1.0313406981
1162	6.4000000000	75.0000000000	-1.0213475751
563	6.6000000000	35.0000000000	-1.0089518684
1237	6.4000000000	80.0000000000	-1.0089516501
1312	6.4000000000	85.0000000000	-1.0013767022
