R,phi,th2,th1,E_cm
5.0,60.0,30.0,0.0,-11.40987455589786
5.1,60.0,30.0,0.0,-9.665538919598008
5.2,60.0,30.0,0.0,-8.2094439254907
5.3,60.0,30.0,0.0,-6.957412489633934
5.4,60.0,30.0,0.0,-5.8854167513298785
5.5,60.0,30.0,0.0,-4.970567262677964
5.6,60.0,30.0,0.0,-4.1916730908399655
5.7,60.0,30.0,0.0,-3.529573880317154
5.8,60.0,30.0,0.0,-2.9672645131469406
5.9,60.0,30.0,0.0,-2.489919483278934
6.0,60.0,30.0,0.0,-2.0847311274433857
6.2,60.0,30.0,0.0,-1.448705940211543
6.4,60.0,30.0,0.0,-0.9899771885988352
6.6,60.0,30.0,0.0,-0.658916609410089
6.8,60.0,30.0,0.0,-0.4200178166791379
7.0,60.0,30.0,0.0,-0.24782987289258812
7.2,60.0,30.0,0.0,-0.12407756640034294
7.4,60.0,30.0,0.0,-0.03561370807495976
7.6,60.0,30.0,0.0,0.02705485878795429
7.8,60.0,30.0,0.0,0.0708064677123889
8.0,60.0,30.0,0.0,0.10065589627917362
8.2,60.0,30.0,0.0,0.12028438950651137
8.4,60.0,30.0,0.0,0.13241036245279048
8.6,60.0,30.0,0.0,0.13905429962565663
8.8,60.0,30.0,0.0,0.14171718539532194
9.0,60.0,30.0,0.0,0.14151855996154084
9.5,60.0,30.0,0.0,0.13345637718341677
10.0,60.0,30.0,0.0,0.12031862591419014
10.5,60.0,30.0,0.0,0.10204846068001984
11.0,60.0,30.0,0.0,0.08845420214262163
11.5,60.0,30.0,0.0,0.07620115495401251
12.0,60.0,30.0,0.0,0.06549869235346335
12.5,60.0,30.0,0.0,0.056314998216829934
13.0,60.0,30.0,0.0,0.0485054325326243
13.5,60.0,30.0,0.0,0.04188761321326112
14.0,60.0,30.0,0.0,0.03627959793916844
14.5,60.0,30.0,0.0,0.03151765577680294
15.0,60.0,30.0,0.0,0.02746176583827804
16.0,60.0,30.0,0.0,0.021021500515119414
17.0,60.0,30.0,0.0,0.016259779796221636
18.0,60.0,30.0,0.0,0.012701217578059244
19.0,60.0,30.0,0.0,0.010017481814285105
20.0,60.0,30.0,0.0,0.007974612802866972
21.0,60.0,30.0,0.0,0.006405367703998763
22.0,60.0,30.0,0.0,0.0051881615782123445
23.0,60.0,30.0,0.0,0.004236300867355282
24.0,60.0,30.0,0.0,0.0034839420073839735
25.0,60.0,30.0,0.0,0.002886531196377007
50.0,60.0,30.0,0.0,0.00011939545616755253
100.0,60.0,30.0,0.0,0.0
2.7,90.0,30.0,0.0,573.4235021691114
2.8,90.0,30.0,0.0,550.4394047456223
2.9,90.0,30.0,0.0,470.4462862613919
3.0,90.0,30.0,0.0,371.32569896322565
3.1,90.0,30.0,0.0,272.63381519006225
3.2,90.0,30.0,0.0,186.49353429027585
3.3,90.0,30.0,0.0,118.15632427841001
3.4,90.0,30.0,0.0,64.57813612317781
3.5,90.0,30.0,0.0,26.70309086167699
3.6,90.0,30.0,0.0,0.7110280086575788
3.7,90.0,30.0,0.0,-16.066367481633236
3.8,90.0,30.0,0.0,-26.00453032610106
3.9,90.0,30.0,0.0,-31.223483833705885
4.0,90.0,30.0,0.0,-33.04289866759538
4.1,90.0,30.0,0.0,-34.09917343860617
4.2,90.0,30.0,0.0,-32.214782918169064
4.3,90.0,30.0,0.0,-30.31504585703447
4.4,90.0,30.0,0.0,-26.87670889673486
4.5,90.0,30.0,0.0,-23.81012026079932
4.6,90.0,30.0,0.0,-19.001544586793376
4.7,90.0,30.0,0.0,-18.091238881061056
4.8,90.0,30.0,0.0,-15.590594987326892
4.9,90.0,30.0,0.0,-13.364660463879288
5.0,90.0,30.0,0.0,-11.409874774222404
5.1,90.0,30.0,0.0,-9.665538919598008
5.2,90.0,30.0,0.0,-8.2094439254907
5.3,90.0,30.0,0.0,-6.957412489633934
5.4,90.0,30.0,0.0,-5.8854167513298785
5.5,90.0,30.0,0.0,-4.970567044353419
5.6,90.0,30.0,0.0,-4.1916730908399655
5.7,90.0,30.0,0.0,-3.529573880317154
5.8,90.0,30.0,0.0,-2.9672645131469406
5.9,90.0,30.0,0.0,-2.489919264954388
6.0,90.0,30.0,0.0,-2.0847311274433857
6.2,90.0,30.0,0.0,-1.4487061616550105
6.4,90.0,30.0,0.0,-0.9899771885988352
6.6,90.0,30.0,0.0,-0.658916609410089
6.8,90.0,30.0,0.0,-0.4200178166791379
7.0,90.0,30.0,0.0,-0.24782987289258812
7.2,90.0,30.0,0.0,-0.12407756640034294
7.4,90.0,30.0,0.0,-0.03561370807495976
7.6,90.0,30.0,0.0,0.02705485878795429
7.8,90.0,30.0,0.0,0.0708064677123889
8.0,90.0,30.0,0.0,0.10065589627917362
8.2,90.0,30.0,0.0,0.12028438950651137
8.4,90.0,30.0,0.0,0.13241036245279048
